Date,Open (Spot Price USD),High (Spot Price USD),Low (Spot Price USD),Close (Spot Price USD)
2021-05-14 00:00:00,1852.98,1859.98,1850.5,1859.87
2021-05-17 00:00:00,1866.44,1884.75,1866.23,1881.52
2021-05-18 00:00:00,1886.69,1887.01,1878.93,1885.18
2021-05-19 00:00:00,1886.26,1906.29,1877.75,1886.47
2021-05-20 00:00:00,1888.2,1900.47,1885.93,1895.09
2021-05-21 00:00:00,1901.77,1904.78,1886.37,1895.95
2021-05-24 00:00:00,1897.14,1901.87,1894.12,1899.29
2021-05-25 00:00:00,1897.14,1916.52,1895.95,1916.52
2021-05-26 00:00:00,1921.04,1923.63,1906.72,1913.18
2021-05-27 00:00:00,1910.49,1915.12,1904.24,1913.94
2021-05-28 00:00:00,1911.24,1921.69,1908.87,1921.15
2021-06-01 00:00:00,1925.25,1926.21,1908.34,1915.98
2021-06-02 00:00:00,1920.72,1925.46,1916.74,1925.35
2021-06-03 00:00:00,1893.69,1893.69,1881.09,1887.66
2021-06-04 00:00:00,1902.52,1912.43,1902.09,1908.01
2021-06-07 00:00:00,1905.86,1915.98,1902.31,1915.66
2021-06-08 00:00:00,1908.77,1912.11,1899.5,1909.74
2021-06-09 00:00:00,1910.38,1914.91,1903.92,1906.07
2021-06-10 00:00:00,1903.06,1915.44,1900.69,1914.26
2021-06-11 00:00:00,1899.07,1901.66,1889.92,1892.72
2021-06-14 00:00:00,1864.93,1885.4,1862.67,1881.63
2021-06-15 00:00:00,1882.38,1883.89,1866.87,1874.52
2021-06-16 00:00:00,1873.01,1879.04,1841.99,1842.85
2021-06-17 00:00:00,1798.81,1805.27,1781.79,1786.2
2021-06-18 00:00:00,1789.33,1795.57,1775.65,1776.3
2021-06-21 00:00:00,1793.42,1800.96,1787.82,1798.05
2021-06-22 00:00:00,1791.59,1797.73,1787.93,1790.51
2021-06-23 00:00:00,1798.27,1809.68,1787.5,1789.33
2021-06-24 00:00:00,1798.59,1801.07,1787.93,1788.25
2021-06-25 00:00:00,1803.44,1804.3,1790.94,1794.17
2021-06-28 00:00:00,1795.14,1797.62,1791.7,1794.07
2021-06-29 00:00:00,1769.94,1780.07,1766.39,1775.22
2021-06-30 00:00:00,1772.42,1788.9,1769.4,1783.84
2021-07-01 00:00:00,1794.82,1797.3,1782.44,1789.97
2021-07-02 00:00:00,1802.36,1806.34,1792.13,1801.71
2021-07-06 00:00:00,1823.04,1827.13,1804.41,1810.65
2021-07-07 00:00:00,1817.11,1822.61,1811.41,1817.55
2021-07-08 00:00:00,1828.96,1829.39,1808.39,1816.36
2021-07-09 00:00:00,1818.41,1826.81,1816.47,1822.39
2021-07-12 00:00:00,1816.9,1821.85,1805.48,1820.13
2021-07-13 00:00:00,1825.62,1829.82,1819.38,1822.5
2021-07-14 00:00:00,1840.7,1842.1,1833.92,1842.1
2021-07-15 00:00:00,1840.49,1844.9,1834.56,1842.42
2021-07-16 00:00:00,1837.9,1841.13,1823.15,1824.55
2021-07-19 00:00:00,1825.62,1829.93,1818.95,1826.7
2021-07-20 00:00:00,1836.39,1839.52,1819.27,1824.33
2021-07-21 00:00:00,1812.91,1820.13,1810.87,1817.55
2021-07-22 00:00:00,1814.64,1822.18,1810.01,1821.1
2021-07-23 00:00:00,1814.74,1818.84,1808.82,1815.39
2021-07-26 00:00:00,1815.61,1818.62,1810.22,1811.08
2021-07-27 00:00:00,1817.22,1819.16,1808.61,1814.1
2021-07-28 00:00:00,1812.16,1824.22,1806.34,1823.25
2021-07-29 00:00:00,1838.44,1847.27,1838.12,1843.5
2021-07-30 00:00:00,1838.65,1841.56,1824.22,1828.96
2021-08-02 00:00:00,1823.36,1833.59,1821.21,1826.7
2021-08-03 00:00:00,1824.65,1829.07,1822.39,1825.41
2021-08-04 00:00:00,1844.69,1845.98,1820.02,1825.84
2021-08-05 00:00:00,1824.11,1824.87,1811.51,1818.62
2021-08-06 00:00:00,1786.1,1787.07,1772.2,1773.17
2021-08-09 00:00:00,1755.62,1758.63,1736.77,1741.72
2021-08-10 00:00:00,1738.17,1745.92,1730.52,1742.26
2021-08-11 00:00:00,1757.13,1768.11,1752.06,1766.28
2021-08-12 00:00:00,1762.51,1767.36,1754.76,1766.71
